url	page_title	name	city_type	official_name	state	county	nickname	motto	population_total	population_city	population_estimate	population_rank	population_density	established_date	named_for	government_type	government_body	area_total	area_city	area_land	area_water	elevation	highest_elevation	timezone	summer_dst	zip_code	area_code	fips_code	gnis_feature_id	website	coordinates	coordinates_link
https://en.wikipedia.org/wiki/Aaronsburg,_Centre_County,_Pennsylvania	Aaronsburg, Centre County, Pennsylvania	Aaronsburg, Centre County, Pennsylvania	Census-designated place	 	Pennsylvania	Centre	 	 	593	 	 	 	670.06/sq mi (258.59/km2)	 	 	 	 	0.89 sq mi (2.29 km2)	 	0.89 sq mi (2.29 km2)	0.00 sq mi (0.00 km2)	1,180 ft (360 m)	 	UTC-5 (Eastern (EST))	UTC-4 (EDT)	16820	 	42-00100	1168362	 	40°53′59″N 77°27′11″W	https://geohack.toolforge.org/geohack.php?pagename=Aaronsburg,_Centre_County,_Pennsylvania&params=40_53_59_N_77_27_11_W_region:US_type:city
https://en.wikipedia.org/wiki/Abbeville,_Alabama	Abbeville, Alabama	Abbeville, Alabama	City	 	Alabama	Henry	 	 	2,358	 	 	 	151.71/sq mi (58.58/km2)	 	 	 	 	15.58 sq mi (40.36 km2)	 	15.54 sq mi (40.26 km2)	0.04 sq mi (0.11 km2)  0.32%	449 ft (137 m)	 	UTC-6 (CST)	UTC-5 (CDT)	36310	334	01-00124	112880	www.cityofabbeville.org	31°33′59″N 85°15′5″W	https://geohack.toolforge.org/geohack.php?pagename=Abbeville,_Alabama&params=31_33_59_N_85_15_5_W_region:US-AL_type:city(2358)
https://en.wikipedia.org/wiki/Abbeville,_Georgia	Abbeville, Georgia	Abbeville, Georgia		 	Georgia	Wilcox	 	 	2,685	 	 	 	878.31/sq mi (339.17/km2)	 	 	 	 	3.09 sq mi (8.01 km2)	 	3.06 sq mi (7.92 km2)	0.04 sq mi (0.10 km2)	256 ft (78 m)	 	UTC-5 (Eastern (EST))	UTC-4 (EDT)	31001	229	13-00184[2]	0354256[3]	http://www.abbevillegeorgia.org	31°59′30″N 83°18′27″W	https://geohack.toolforge.org/geohack.php?pagename=Abbeville,_Georgia&params=31_59_30_N_83_18_27_W_region:US_type:city
https://en.wikipedia.org/wiki/Abbeville,_Louisiana	Abbeville, Louisiana	Abbeville, Louisiana	City	 	Louisiana	 	 	 	11,186	 	 	 	1,849.84/sq mi (714.26/km2)	 	 	 	 	6.08 sq mi (15.74 km2)	 	6.05 sq mi (15.66 km2)	0.03 sq mi (0.08 km2)	16 ft (5 m)	 	UTC-6 (CST)	UTC-5 (CDT)	70510, 70511	337	22-00100	 	www.cityofabbeville.net	29°58′21″N 92°07′45″W	https://geohack.toolforge.org/geohack.php?pagename=Abbeville,_Louisiana&params=29_58_21_N_92_07_45_W_type:city(11186)_region:US-LA
https://en.wikipedia.org/wiki/Abbeville,_Mississippi	Abbeville, Mississippi	Abbeville, Mississippi	Town	 	Mississippi	Lafayette	 	 	372	 	 	 	107.51/sq mi (41.52/km2)	 	 	 	 	3.46 sq mi (8.96 km2)	 	3.46 sq mi (8.96 km2)	0.00 sq mi (0.00 km2)	371 ft (113 m)	 	UTC-6 (Central (CST))	UTC-5 (CDT)	38601	662	28-00100	0691642	 	34°30′16″N 89°30′3″W	https://geohack.toolforge.org/geohack.php?pagename=Abbeville,_Mississippi&params=34_30_16_N_89_30_3_W_region:US-MS_type:city(372)
https://en.wikipedia.org/wiki/Abbeville,_South_Carolina	Abbeville, South Carolina	Abbeville, South Carolina	City	 	South Carolina	Abbeville	 	 	4,874	 	 	 	784.23/sq mi (302.77/km2)	 	 	 	 	6.23 sq mi (16.13 km2)	 	6.21 sq mi (16.10 km2)	0.01 sq mi (0.03 km2)	594 ft (181 m)	 	UTC−5 (Eastern (EST))	UTC−4 (EDT)	29620	864	45-00100[4]	1244839[2]	www.abbevillecitysc.com	34°10′42.7584″N 82°22′39.6732″W	https://geohack.toolforge.org/geohack.php?pagename=Abbeville,_South_Carolina&params=34_10_42.7584_N_82_22_39.6732_W_region:US-SC_type:city
https://en.wikipedia.org/wiki/Abbot,_Maine	Abbot, Maine	Abbot, Maine	Town	 	Maine	Piscataquis	 	 	650	 	 	 	19/sq mi (7.3/km2)	 	 	 	 	35.70 sq mi (92.46 km2)	 	34.53 sq mi (89.43 km2)	1.17 sq mi (3.03 km2)	482 ft (147 m)	 	UTC-5 (Eastern (EST))	UTC-4 (EDT)	04406	207	23-00100	0582314	 	45°12′6″N 69°27′44″W	https://geohack.toolforge.org/geohack.php?pagename=Abbot,_Maine&params=45_12_6_N_69_27_44_W_region:US-ME_type:city(650)
https://en.wikipedia.org/wiki/Abbotsford,_Wisconsin	Abbotsford, Wisconsin	Abbotsford, Wisconsin	City	 	Wisconsin	 	 	 	2,275	 	 	 	 	 	 	 	 	3.03 sq mi (7.86 km2)	 	3.03 sq mi (7.86 km2)	0.00 sq mi (0.00 km2)	1,407 ft (429 m)	 	UTC-6 (Central (CST))	UTC-5 (CDT)	 	715 & 534	55-00100[4]	1560663[2]	ci.abbotsford.wi.us	44°56′48″N 90°19′6″W	https://geohack.toolforge.org/geohack.php?pagename=Abbotsford,_Wisconsin&params=44_56_48_N_90_19_6_W_region:US_type:city
https://en.wikipedia.org/wiki/Abbott,_Texas	Abbott, Texas	Abbott	City	 	Texas	Hill	 	 	352	 	 	 	623.31/sq mi (240.74/km2)	 	 	 	 	0.59 sq mi (1.54 km2)	 	0.59 sq mi (1.53 km2)	0.00 sq mi (0.00 km2)	712 ft (217 m)	 	UTC-6 (Central (CST))	UTC-5 (CDT)	76621	254	48-00100[2]	1329165[3]	 	31°53′2″N 97°4′32″W	https://geohack.toolforge.org/geohack.php?pagename=Abbott,_Texas&params=31_53_2_N_97_4_32_W_region:US-TX_type:city(352)
https://en.wikipedia.org/wiki/Abbottstown,_Pennsylvania	Abbottstown, Pennsylvania	Abbottstown, Pennsylvania		 	Pennsylvania	Adams	 	 	1,022	 	 	 	1,871.79/sq mi (722.71/km2)	1753	 	Borough Council	 	0.55 sq mi (1.43 km2)	 	0.55 sq mi (1.41 km2)	0.01 sq mi (0.02 km2)	564 ft (172 m)	 	UTC-5 (Eastern (EST))	UTC-4 (EDT)	 	717	42-00116	 	adams.pacounties.org/Munic/AbbottstownBorough/Pages/default.aspx	39°53′08″N 76°59′10″W	https://geohack.toolforge.org/geohack.php?pagename=Abbottstown,_Pennsylvania&params=39_53_08_N_76_59_10_W_region:US_type:city
